studyid,site,treatment,start_date,measurement_date,response (formal name),units,value,upper se,se,exposure time,n,source,notes,date_interval,numeric_start,numeric_end,seasonal_mean_dli,seasonal_mean_temp
135,"Middle Marsh, Back Sound, North Carolina, USA",control,1994-08-12,1994-08-26,lateral shoot production,shoots / m2 / day,2.83671694610254,5.06759564290429,2.2308786968017498,calculate,3,Figure 1,"back calculated start date, will need to standardise to initial shoot count to get per capita changes",1994-08-12 UTC--1994-08-26 UTC,8989,9003,83.47851000000001,26.6
135,"Middle Marsh, Back Sound, North Carolina, USA",control,1994-08-26,1994-09-30,lateral shoot production,shoots / m2 / day,1.38396987374494,3.71702481687357,2.33305494312863,calculate,3,Figure 1,"back calculated start date, will need to standardise to initial shoot count to get per capita changes",1994-08-26 UTC--1994-09-30 UTC,9003,9038,77.36685654761905,26.5
135,"Middle Marsh, Back Sound, North Carolina, USA",control,1994-09-30,1994-11-13,lateral shoot production,shoots / m2 / day,5.54539898970313,7.42621435247058,1.88081536276745,calculate,3,Figure 1,"back calculated start date, will need to standardise to initial shoot count to get per capita changes",1994-09-30 UTC--1994-11-13 UTC,9038,9082,53.09776276767677,23.55
135,"Middle Marsh, Back Sound, North Carolina, USA",HT,1994-08-12,1994-08-26,lateral shoot production,shoots / m2 / day,-1.5134321434648,-3.04449944989296,1.53106730642816,calculate,3,Figure 1,"back calculated start date, will need to standardise to initial shoot count to get per capita changes",1994-08-12 UTC--1994-08-26 UTC,8989,9003,84.8934,29.5
135,"Middle Marsh, Back Sound, North Carolina, USA",HT,1994-08-26,1994-09-30,lateral shoot production,shoots / m2 / day,-6.04279032950828,-7.54469444914733,1.5019041196390495,calculate,3,Figure 1,"back calculated start date, will need to standardise to initial shoot count to get per capita changes",1994-08-26 UTC--1994-09-30 UTC,9003,9038,77.83216933333334,29.35
135,"Middle Marsh, Back Sound, North Carolina, USA",HT,1994-09-30,1994-11-13,lateral shoot production,shoots / m2 / day,-4.02496053511452,-5.29355916044072,1.2685986253262005,calculate,3,Figure 1,"back calculated start date, will need to standardise to initial shoot count to get per capita changes",1994-09-30 UTC--1994-11-13 UTC,9038,9082,52.69795143434344,27
135,"Middle Marsh, Back Sound, North Carolina, USA",HN,1994-08-12,1994-08-26,lateral shoot production,shoots / m2 / day,-3.5303161047735,-4.50733540849112,0.9770193037176202,calculate,3,Figure 1,"back calculated start date, will need to standardise to initial shoot count to get per capita changes",1994-08-12 UTC--1994-08-26 UTC,8989,9003,81.59199000000001,26.4
135,"Middle Marsh, Back Sound, North Carolina, USA",HN,1994-08-26,1994-09-30,lateral shoot production,shoots / m2 / day,-3.1457298631348,-5.84332464112728,2.6975947779924803,calculate,3,Figure 1,"back calculated start date, will need to standardise to initial shoot count to get per capita changes",1994-08-26 UTC--1994-09-30 UTC,9003,9038,78.4396670079365,26.5
135,"Middle Marsh, Back Sound, North Carolina, USA",HN,1994-09-30,1994-11-13,lateral shoot production,shoots / m2 / day,-1.62362169787337,-2.9798149761319,1.35619327825853,calculate,3,Figure 1,"back calculated start date, will need to standardise to initial shoot count to get per capita changes",1994-09-30 UTC--1994-11-13 UTC,9038,9082,54.15721492929293,23.55
135,"Middle Marsh, Back Sound, North Carolina, USA",HT + HN,1994-08-12,1994-08-26,lateral shoot production,shoots / m2 / day,-0.0355154017883165,-1.63954322147175,1.6040278196834334,calculate,3,Figure 1,"back calculated start date, will need to standardise to initial shoot count to get per capita changes",1994-08-12 UTC--1994-08-26 UTC,8989,9003,82.53525000000002,29.2
135,"Middle Marsh, Back Sound, North Carolina, USA",HT + HN,1994-08-26,1994-09-30,lateral shoot production,shoots / m2 / day,-3.26711177571649,-4.52112880764813,1.2540170319316397,calculate,3,Figure 1,"back calculated start date, will need to standardise to initial shoot count to get per capita changes",1994-08-26 UTC--1994-09-30 UTC,9003,9038,77.57197813492064,29.299999999999997
135,"Middle Marsh, Back Sound, North Carolina, USA",HT + HN,1994-09-30,1994-11-13,lateral shoot production,shoots / m2 / day,-2.83883330017662,-3.62608170463503,0.7872484044584098,calculate,3,Figure 1,"back calculated start date, will need to standardise to initial shoot count to get per capita changes",1994-09-30 UTC--1994-11-13 UTC,9038,9082,53.71130834343435,27.25
