studyid,site,treatment,start_date,measurement_date,response (formal name),units,value,upper se,se,exposure time,n,source,notes,numeric_start,numeric_end,seasonal_mean_dli,seasonal_mean_temp
336,"Ebeltoft (Denmark, Baltic Sea)",T:19,2008-06-04,2008-06-04,shoot density,# shoots,14.1966248934887,14.9607444948176,0.7641196013289004,calculate,NA,NA,NA,14034,14034,11.52,18.9787529527258
336,"Ebeltoft (Denmark, Baltic Sea)",T:19,2008-06-04,2008-06-12,shoot density,# shoots,13.4384431994632,14.202444042646,0.7640008431828011,calculate,NA,NA,NA,14034,14042,11.52,19.11152525621399
336,"Ebeltoft (Denmark, Baltic Sea)",T:19,2008-06-12,2008-07-09,shoot density,# shoots,10.6011923317865,11.2323621885938,0.6311698568073005,calculate,NA,NA,NA,14042,14069,11.323636363636364,19.104120226272325
336,"Ebeltoft (Denmark, Baltic Sea)",T:19,2008-07-09,2008-07-31,shoot density,# shoots,9.18895014829923,10.3184588755384,1.1295087272391697,calculate,NA,NA,NA,14069,14091,10.8,19.576938207426416
336,"Ebeltoft (Denmark, Baltic Sea)",T:19,2008-07-31,2008-08-18,shoot density,# shoots,8.504517262981,9.66730796065542,1.162790697674419,calculate,NA,NA,NA,14091,14109,10.8,19.56925157695999
336,"Ebeltoft (Denmark, Baltic Sea)",T:25,2008-06-04,2008-06-04,shoot density,# shoots,13.3993420798707,13.7978350389972,0.39849295912650007,calculate,NA,NA,NA,14034,14034,11.52,18.8722848644285
336,"Ebeltoft (Denmark, Baltic Sea)",T:25,2008-06-04,2008-06-12,shoot density,# shoots,13.0065495117555,13.4383838203901,0.4318343086346008,calculate,NA,NA,NA,14034,14042,11.52,22.531840437542634
336,"Ebeltoft (Denmark, Baltic Sea)",T:25,2008-06-12,2008-07-09,shoot density,# shoots,8.50816907597255,9.23900670686629,0.7308376308937401,calculate,NA,NA,NA,14042,14069,11.287058823529412,24.363333695599536
336,"Ebeltoft (Denmark, Baltic Sea)",T:25,2008-07-09,2008-07-31,shoot density,# shoots,5.56762831075444,6.19885754663484,0.6312292358803999,calculate,NA,NA,NA,14069,14091,10.8,19.015641656348627
336,"Ebeltoft (Denmark, Baltic Sea)",T:25,2008-07-31,2008-08-18,shoot density,# shoots,5.58092922311389,6.17887648855914,0.5979472654452493,calculate,NA,NA,NA,14091,14109,10.8,18.891770821635895
336,"Doverodde (Denmark, North Sea)",T:19,2008-06-04,2008-06-04,shoot density,# shoots,14.5873214285714,15.2919196428571,0.7045982142856992,calculate,NA,NA,NA,14034,14034,11.52,18.9787529527258
336,"Doverodde (Denmark, North Sea)",T:19,2008-06-04,2008-06-12,shoot density,# shoots,15.7932738095238,16.7099503968254,0.9166765873015983,calculate,NA,NA,NA,14034,14042,11.52,19.11152525621399
336,"Doverodde (Denmark, North Sea)",T:19,2008-06-12,2008-07-09,shoot density,# shoots,14.4466071428571,15.2252860449735,0.7786789021163987,calculate,NA,NA,NA,14042,14069,11.323636363636364,19.104120226272325
336,"Doverodde (Denmark, North Sea)",T:19,2008-07-09,2008-07-31,shoot density,# shoots,10.4036921296296,11.0750297619047,0.6713376322750992,calculate,NA,NA,NA,14069,14091,10.8,19.576938207426416
336,"Doverodde (Denmark, North Sea)",T:19,2008-07-31,2008-08-18,shoot density,# shoots,10.4401091269841,11.0420023148148,0.6018931878307008,calculate,NA,NA,NA,14091,14109,10.8,19.56925157695999
336,"Doverodde (Denmark, North Sea)",T:25,2008-06-04,2008-06-04,shoot density,# shoots,14.0650677910052,14.7364054232804,0.6713376322752005,calculate,NA,NA,NA,14034,14034,11.52,18.8722848644285
336,"Doverodde (Denmark, North Sea)",T:25,2008-06-04,2008-06-12,shoot density,# shoots,14.0942096560846,15.0664732142857,0.9722635582011012,calculate,NA,NA,NA,14034,14042,11.52,22.531840437542634
336,"Doverodde (Denmark, North Sea)",T:25,2008-06-12,2008-07-09,shoot density,# shoots,11.1048743386243,12.2854298941798,1.1805555555554985,calculate,NA,NA,NA,14042,14069,11.287058823529412,24.363333695599536
336,"Doverodde (Denmark, North Sea)",T:25,2008-07-09,2008-07-31,shoot density,# shoots,9.15365079365079,9.80175760582011,0.6481068121693205,calculate,NA,NA,NA,14069,14091,10.8,19.015641656348627
336,"Doverodde (Denmark, North Sea)",T:25,2008-07-31,2008-08-18,shoot density,# shoots,9.19015046296296,9.76881283068783,0.5786623677248706,calculate,NA,NA,NA,14091,14109,10.8,18.891770821635895
336,"Gabicce Mare (Italy, Adriatic Sea)",T:19,2008-06-04,2008-06-04,shoot density,# shoots,15.4314885550992,16.4963094862,1.064820931100801,calculate,NA,NA,NA,14034,14034,11.52,18.9787529527258
336,"Gabicce Mare (Italy, Adriatic Sea)",T:19,2008-06-04,2008-06-12,shoot density,# shoots,17.0601970188689,18.1249605100663,1.0647634911973967,calculate,NA,NA,NA,14034,14042,11.52,19.11152525621399
336,"Gabicce Mare (Italy, Adriatic Sea)",T:19,2008-06-12,2008-07-09,shoot density,# shoots,16.8795485223584,17.9674602946667,1.0879117723082992,calculate,NA,NA,NA,14042,14069,11.323636363636364,19.104120226272325
336,"Gabicce Mare (Italy, Adriatic Sea)",T:19,2008-07-09,2008-07-31,shoot density,# shoots,14.6337057353743,16.0226600419311,1.3889543065568013,calculate,NA,NA,NA,14069,14091,10.8,19.576938207426416
336,"Gabicce Mare (Italy, Adriatic Sea)",T:19,2008-07-31,2008-08-18,shoot density,# shoots,15.30041069531,16.3421407852034,1.0417300898934023,calculate,NA,NA,NA,14091,14109,10.8,19.56925157695999
336,"Gabicce Mare (Italy, Adriatic Sea)",T:25,2008-06-04,2008-06-04,shoot density,# shoots,14.7138918406617,15.5935265228754,0.8796346822137,calculate,NA,NA,NA,14034,14034,11.52,18.8722848644285
336,"Gabicce Mare (Italy, Adriatic Sea)",T:25,2008-06-04,2008-06-12,shoot density,# shoots,15.7869841178666,16.5739682357333,0.7869841178666999,calculate,NA,NA,NA,14034,14042,11.52,22.531840437542634
336,"Gabicce Mare (Italy, Adriatic Sea)",T:25,2008-06-12,2008-07-09,shoot density,# shoots,14.1480513512737,15.0046526321835,0.8566012809097998,calculate,NA,NA,NA,14042,14069,11.287058823529412,24.363333695599536
336,"Gabicce Mare (Italy, Adriatic Sea)",T:25,2008-07-09,2008-07-31,shoot density,# shoots,11.6706683132772,12.1336339354949,0.4629656222177001,calculate,NA,NA,NA,14069,14091,10.8,19.015641656348627
336,"Gabicce Mare (Italy, Adriatic Sea)",T:25,2008-07-31,2008-08-18,shoot density,# shoots,11.6661305609006,12.1751629857261,0.5090324248255005,calculate,NA,NA,NA,14091,14109,10.8,18.891770821635895
